Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Finbert Compound,Title,Date
2015-09-01,493.62832535563587,493.62832535563587,479.9499979799383,483.38165283203125,5234572,0.0,0.0,-0.9502286370843649,"['Banking, capital goods stocks dip post Q1 GDP data']",2015-09-01
2015-09-02,485.7982783814142,490.0757957016524,476.0832910444933,480.9891357421875,4340844,0.0,0.0,-0.9502286370843649,"['Banking, capital goods stocks dip post Q1 GDP data']",2015-09-02
2015-09-03,484.4449789619717,490.583318003559,482.84998491187724,488.3116455078125,3253684,0.0,0.0,-0.9502286370843649,"['Banking, capital goods stocks dip post Q1 GDP data']",2015-09-03
2015-09-04,484.39664493132614,486.233305593144,473.6666396434206,481.42413330078125,5702296,0.0,0.0,-0.9574497560504823,"['FIIs loose nearly Rs 2 lakh crore in current market crash'
 'BSE Bankex dips nearly 700 points; SBI, ICICI Bank, BOI, PNB hit fresh 52-week low']",2015-09-04
2015-09-07,483.8166966629341,488.0700243599054,473.66669603364176,475.8175354003906,2690870,0.0,0.0,-0.9603382036369293,"['FIIs loose nearly Rs 2 lakh crore in current market crash'
 'BSE Bankex dips nearly 700 points; SBI, ICICI Bank, BOI, PNB hit fresh 52-week low']",2015-09-07
2015-09-08,476.90498090820296,488.16664108464533,472.21664192049354,485.2908020019531,3722244,0.0,0.0,-0.9614935826715081,"['FIIs loose nearly Rs 2 lakh crore in current market crash'
 'BSE Bankex dips nearly 700 points; SBI, ICICI Bank, BOI, PNB hit fresh 52-week low']",2015-09-08
2015-09-09,490.3416453421972,495.4166451214905,485.7499788752175,491.2116394042969,3276560,0.0,0.0,0.1703607819147408,['Bank Nifty surges over 5% in two days'],2015-09-09
2015-09-10,484.7833575542084,491.5258637911444,481.5450181590152,488.6500244140625,2231870,0.0,0.0,0.6231025277492404,['Bank Nifty surges over 5% in two days'],2015-09-10
2015-09-11,490.34165849643205,492.99999178547137,486.619985991712,488.4083251953125,2150880,0.0,0.0,0.8041992260830402,['Bank Nifty surges over 5% in two days'],2015-09-11
2015-09-14,487.61076617962965,494.1116046750529,485.0249449399689,492.8549499511719,2530172,0.0,0.0,-0.036639647232818595,['Volatile market takes toll on institutional placements'],2015-09-14
2015-09-15,492.0091419045709,492.8308144200958,487.2482911677399,489.68914794921875,2166364,0.0,0.0,-0.3729751965591621,['Volatile market takes toll on institutional placements'],2015-09-15
2015-09-16,492.46833095385523,496.91497389222957,488.9158133559473,494.619140625,2127026,0.0,0.0,-0.5075094162896996,['Volatile market takes toll on institutional placements'],2015-09-16
2015-09-18,500.2499237750989,513.2999217866233,498.38910252543593,507.37908935546875,3920584,0.0,0.0,-0.5613231041819146,['Volatile market takes toll on institutional placements'],2015-09-18
2015-09-21,501.6758117385952,509.916668705133,500.9024902023006,508.9258117675781,2138344,0.0,0.0,-0.5828485793388005,['Volatile market takes toll on institutional placements'],2015-09-21
2015-09-22,507.5241695389181,512.3333124089121,495.56167002748356,498.1474914550781,3012606,0.0,0.0,-0.591458769401555,['Volatile market takes toll on institutional placements'],2015-09-22
2015-09-23,492.61337085471496,509.16750908368186,492.34754340438303,507.11334228515625,2580576,0.0,0.0,0.055395712748907144,['Sensex advances first time this week'],2015-09-23
2015-09-24,506.04995745418967,509.4332905030716,500.73329123451816,508.1766357421875,4126418,0.0,0.0,0.28912501247554706,['FUND PICK: Birla Sun Life Top 100 Fund'],2015-09-24
2015-09-28,509.91663384704975,512.3333003581732,504.1649557504465,505.7599792480469,2888554,0.0,0.0,0.382616732366203,['FUND PICK: Birla Sun Life Top 100 Fund'],2015-09-28
2015-09-29,498.7999053519484,519.0515799759588,495.4648941846417,514.6532592773438,5209420,0.0,0.0,-0.33199231099195525,['Housing finance stocks gain post RBI policy'],2015-09-29
2015-09-30,516.2000406596457,518.6167075166665,512.9858619396769,516.5867309570312,4513898,0.0,0.0,-0.6178359283352186,['Housing finance stocks gain post RBI policy'],2015-09-30
2015-10-01,519.6799538619244,520.5016558933456,512.0191326609607,516.0308227539062,2517394,0.0,0.0,0.18764925128840249,"['Infosys hits record high, becomes third most valuable company']",2015-10-01
2015-10-05,520.646569239255,533.986614548171,520.646569239255,530.8690795898438,4026686,0.0,0.0,0.6330602200145438,"['Financial sector shares gain; HDFC, ICICI Bank up 5%']",2015-10-05
2015-10-06,535.0499834084636,535.4849951951044,523.4499837681717,524.8757934570312,2379482,0.0,0.0,0.2696598640979296,"['NCDEX ties up with Kotak Mahindra Bank, others for pledge finance']",2015-10-06
2015-10-07,525.866682946449,530.8691713011859,523.6191710767404,525.745849609375,2193134,0.0,0.0,0.12429972173128391,"['NCDEX ties up with Kotak Mahindra Bank, others for pledge finance']",2015-10-07
